,Src,Dst,Weight,edge_type
7034,29,1123,1,0
7035,220,1123,1,0
7036,31,1123,1,0
7037,221,1124,1,0
7038,222,1125,1,0
7039,8,1125,1,0
7040,220,1125,1,0
7041,30,1125,1,0
7042,223,1125,1,0
7043,224,1125,1,0
7044,225,1125,1,0
7045,223,1126,1,0
7046,222,1126,1,0
7047,217,1126,1,0
7048,8,1126,1,0
7049,224,1126,1,0
7050,225,1126,1,0
7051,29,1126,1,0
7052,220,1126,1,0
7053,226,1127,1,0
7054,227,1127,1,0
7055,223,894,1,0
7056,222,894,1,0
7057,216,894,1,0
7058,8,894,1,0
7059,219,894,1,0
7060,220,894,1,0
7061,228,1128,1,0
7062,229,1128,1,0
7063,201,1129,1,0
7064,202,1129,1,0
7065,230,1130,1,0
7066,201,1131,1,0
7067,231,1132,1,0
7068,231,1133,1,0
7069,232,1134,1,0
7070,233,1134,1,0
7071,234,1134,1,0
7072,232,1135,1,0
7073,233,1135,1,0
7074,234,1135,1,0
7075,235,1135,1,0
7076,236,1136,1,0
7077,237,1136,1,0
7078,238,1137,1,0
7079,239,1137,1,0
7080,240,1137,1,0
7081,241,1137,1,0
7082,236,1137,1,0
7083,242,1137,1,0
7084,237,1137,1,0
7085,222,922,1,0
7086,201,922,1,0
7087,229,922,1,0
7088,29,922,1,0
7089,200,922,1,0
7090,223,922,1,0
7091,220,922,1,0
7092,200,1138,1,0
7093,243,1139,1,0
7094,244,1140,1,0
7095,245,1141,1,0
7096,246,1141,1,0
7097,247,1141,1,0
7098,248,1142,1,0
7099,248,1143,1,0
7100,249,1144,1,0
7101,250,1144,1,0
7102,251,1145,1,0
7103,252,1146,1,0
7104,253,935,1,0
7106,254,935,1,0
7107,38,1147,1,0
7109,253,1147,1,0
7110,78,987,1,0
7111,15,987,1,0
7112,255,1148,1,0
7113,256,1149,1,0
7114,255,1149,1,0
7115,256,1150,1,0
7116,255,1150,1,0
7117,257,1151,1,0
7118,258,1152,1,0
7119,259,1153,1,0
7120,260,1154,1,0
7121,260,1155,1,0
7122,260,1156,1,0
7123,261,981,1,0
7124,262,1157,1,0
7125,263,1157,1,0
7126,264,1158,1,0
7127,265,1159,1,0
7130,29,1160,1,0
7131,266,1161,1,0
7132,267,1161,1,0
7133,268,1161,1,0
7134,269,1161,1,0
7135,266,1162,1,0
7136,267,1162,1,0
7137,268,1162,1,0
7138,269,1162,1,0
7139,268,1163,1,0
7140,266,1163,1,0
7141,267,1163,1,0
7142,269,1163,1,0
7143,247,1164,1,0
7144,204,1165,1,0
7145,270,1166,1,0
7146,110,998,1,0
7147,110,951,1,0
