,from,to,references
138,MAPK14,MAPKAPK2,ACSN:11274345;ACSN:12738796;ACSN:15187187;ACSN:18039929;BioGRID:17395714;CA1:7592979;CA1:7923353;ELM:23047924;ELM:25255283;HPRD-phos:18669648;HPRD-phos:7592979;HPRD-phos:8846784;HPRD:7592979;HPRD:8846784;HPRD:9768359;InnateDB:10581204;InnateDB:17255097;IntAct:17255097;IntAct:21988832;IntAct:25241761;KEA:16456544;KEA:7592979;KEA:8846784;Lit-BM-17:10581204;Lit-BM-17:10922375;Lit-BM-17:11042204;Lit-BM-17:17255097;Lit-BM-17:17395714;Lit-BM-17:21675959;Lit-BM-17:21988832;Lit-BM-17:23455922;Lit-BM-17:23602568;Lit-BM-17:25241761;Lit-BM-17:25852190;Lit-BM-17:26186194;Lit-BM-17:26496610;Macrophage:17906627;ProtMapper:14499342;ProtMapper:27898710;ProtMapper:7592979;ProtMapper:8846784;SIGNOR:14499342;SIGNOR:7592979;SIGNOR:8846784;SPIKE:15629715;SPIKE:9768359;SPIKE_LC:15629715;SPIKE_LC:9768359;SignaLink3:11042204;SignaLink3:11551945;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:7592979;SignaLink3:8846784;SignaLink3:9768359;SignaLink3:9922370;dbPTM:8846784;iPTMnet:14499342;iPTMnet:18669648;iPTMnet:7592979;iPTMnet:8846784;phosphoELM:8846784
139,MAPKAPK2,HNRNPA0,HPRD:12456657;PhosphoSite:26602816;ProtMapper:25716654;ProtMapper:26602816;SIGNOR:12456657;SPIKE:21173571;SPIKE_LC:21173571;dbPTM:17287340;dbPTM:20932473;iPTMnet:12456657
140,TIA1,GADD45A,SPIKE:21173571;SPIKE_LC:21173571
141,HNRNPD,GADD45A,SPIKE:21173571;SPIKE_LC:21173571
142,MAPKAPK2,PARN,PhosphoSite:20932473;ProtMapper:20932473;SIGNOR:20932473;SPIKE:21173571;SPIKE_LC:21173571;dbPTM:16964243;dbPTM:18669648;dbPTM:19690332;dbPTM:20932473;iPTMnet:20932473
143,HNRNPA0,GADD45A,SPIKE:21173571;SPIKE_LC:21173571
144,JAK2,EPOR,BioGRID:8343951;Cellinker:9030561;HPRD-phos:12441334;HPRD:11779507;HPRD:12441334;HPRD:8343951;KEA:10579919;KEA:10660611;KEA:11443118;KEA:12027890;KEA:12441334;KEA:7559499;KEA:9573010;ProtMapper:12441334;ProtMapper:15212693;SIGNOR:12441334;SPIKE:12524467;SPIKE:18672044;SPIKE_LC:12524467;SPIKE_LC:18672044;iPTMnet:10579919;iPTMnet:12441334;phosphoELM:10579919
145,EPOR,JAK2,BioGRID:8343951;HPRD:11779507;HPRD:12441334;HPRD:8343951;SignaLink3:11779507;SignaLink3:18160720;SignaLink3:23331499;SignaLink3:8343951
146,ESPN,MYO15A,SPIKE:16206170;SPIKE_LC:16206170
147,GJB6,GJB2,HPRD:14595769;SPIKE:19047647;SPIKE_LC:19047647
148,GJB2,GJB6,HPRD:14595769;SPIKE:19047647;SPIKE_LC:19047647
149,MAPK14,TIAL1,SPIKE:21173571;SPIKE_LC:21173571
150,PARN,GADD45A,SPIKE:20932473;SPIKE_LC:20932473
151,NUMB,NOTCH1,BioGRID:8755477;HPRD:12682059;HPRD:8755477;NetPath:8755477;SIGNOR:12682059;SPIKE:15358736;SPIKE:16713569;SPIKE:8755477;SPIKE_LC:15358736;SPIKE_LC:16713569;SPIKE_LC:8755477
152,TIAL1,GADD45A,SPIKE:21173571;SPIKE_LC:21173571
153,ZIC1,ATOH1,SPIKE:12642498;SPIKE_LC:12642498
154,MAPK14,ZFP36,KEA:17570479;SIGNOR:25815583;SPIKE:20599781;SPIKE_LC:20599781
155,HES5,ATOH1,SPIKE:14757642;SPIKE:15358736;SPIKE_LC:14757642;SPIKE_LC:15358736
156,ATOH1,HES5,SPIKE:14757642;SPIKE:15358736;SPIKE_LC:14757642;SPIKE_LC:15358736
157,MAPKAPK2,ZFP36,HPRD-phos:14688255;HPRD-phos:18669648;HPRD:14688255;KEA:14688255;ProtMapper:14688255;ProtMapper:15535838;ProtMapper:16508015;ProtMapper:19416727;ProtMapper:19542371;ProtMapper:20595389;ProtMapper:21776382;ProtMapper:22428854;ProtMapper:23272005;ProtMapper:23602935;ProtMapper:24705157;ProtMapper:25535763;ProtMapper:26926077;ProtMapper:27220464;ProtMapper:27708140;ProtMapper:28659609;ProtMapper:29444957;SIGNOR:14688255;SPIKE:20599781;SPIKE_LC:20599781;dbPTM:15014438;dbPTM:18669648;iPTMnet:14688255
158,ZFP36,TNF,BioGRID:21784977;SPIKE:20599781;SPIKE_LC:20599781
159,CREB1,IL2,SPIKE:21084670;SPIKE_LC:21084670
160,NOTCH1,JAG2,HPRD:11006133;NetPath:11006133;SPIKE:11006133;SPIKE:15358736;SPIKE:16713569;SPIKE_LC:11006133;SPIKE_LC:15358736;SPIKE_LC:16713569
161,JAG2,NOTCH1,Baccin2019:1100613311006130;CellChatDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;HPRD:11006133;ICELLNET:16921404;ICELLNET:21352254;ICELLNET:22503540;LRdb:11006133;NetPath:11006133;SIGNOR:9315665;SPIKE:11006133;SPIKE:16713569;SPIKE_LC:11006133;SPIKE_LC:16713569;SignaLink3:10958687;SignaLink3:11006133;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11006133
162,DLL1,NOTCH1,Baccin2019:1006133;Baccin2019:98194281;CellChatDB:22353464;CellTalkDB:22353464;Cellinker:11006133;Cellinker:22353464;Cellinker:9819428;HPRD:11006133;ICELLNET:21685328;LRdb:11;LRdb:9819428;NetPath:11006133;SIGNOR:16140393;SPIKE:11006133;SPIKE:17537801;SPIKE_LC:11006133;SPIKE_LC:17537801;connectomeDB2020:11006133;connectomeDB2020:9819428
163,NOTCH1,DLL1,Baccin2019:11006133;HPRD:11006133;NetPath:11006133;SPIKE:11006133;SPIKE:15358736;SPIKE:17537801;SPIKE_LC:11006133;SPIKE_LC:15358736;SPIKE_LC:17537801;SignaLink3:21985982
164,SIX1,LFNG,SPIKE:14695375;SPIKE_LC:14695375
165,CREB1,IL10,SPIKE:21084670;SPIKE_LC:21084670
166,CREB1,IL6,SPIKE:21084670;SPIKE_LC:21084670
167,SIX1,OTX2,SPIKE:14695375;SPIKE_LC:14695375
168,SIX1,HMX3,SPIKE:12874121;SPIKE:14695375;SPIKE_LC:12874121;SPIKE_LC:14695375
169,SIX1,DLX5,SPIKE:14695375;SPIKE_LC:14695375
170,SIX1,OTX1,SPIKE:14695375;SPIKE_LC:14695375
171,CREB1,MIF,SPIKE:21084670;SPIKE_LC:21084670
172,SIX1,DACH1,HPRD:14628042;SPIKE:14695375;SPIKE:17035528;SPIKE_LC:14695375;SPIKE_LC:17035528
173,SIX1,DACH2,SPIKE:14695375;SPIKE_LC:14695375
174,CREB1,TNF,SPIKE:21084670;SPIKE_LC:21084670
175,MYO7A,PCDH15,SPIKE:16481439;SPIKE_LC:16481439
176,PCDH15,MYO7A,SPIKE:16481439;SPIKE_LC:16481439
177,CREB1,PTGS2,SPIKE:21084670;SPIKE_LC:21084670
178,GABPA,TXNRD1,SPIKE:19114066;SPIKE_LC:19114066
179,GABPA,TXN,SPIKE:19114066;SPIKE_LC:19114066
180,CREB1,AICDA,SPIKE:20864035;SPIKE_LC:20864035
181,MAPK3,GABPA,SPIKE:19114066;SPIKE_LC:19114066
182,MAPK1,GABPA,SPIKE:19114066;SPIKE_LC:19114066
183,TUB,MAPK1,SPIKE:19114066;SPIKE_LC:19114066
184,TUB,MAPK3,SPIKE:19114066;SPIKE_LC:19114066
185,MIR17HG,BCL2L11,SPIKE:20299512;SPIKE_LC:20299512
186,PROX1,GFI1,SPIKE:18652815;SPIKE_LC:18652815
187,GFI1,CDKN1C,SPIKE:18652815;SPIKE_LC:18652815
188,KEAP1,GABPA,BioGRID:19424503;BioGRID:34918396;SPIKE:19114066;SPIKE_LC:19114066
189,PROX1,ATOH1,SPIKE:18652815;SPIKE_LC:18652815
190,GATA3,FGF10,SPIKE:16806848;SPIKE_LC:16806848
191,IGF2BP1,BTRC,BioGRID:16778892;SPIKE:19106159;SPIKE_LC:19106159
192,PAX3,DACH2,SPIKE:14695375;SPIKE_LC:14695375
193,DACH2,PAX3,SPIKE:14695375;SPIKE_LC:14695375
194,NFAT5,AKR1B1,SPIKE:15522988;SPIKE:18056707;SPIKE_LC:15522988;SPIKE_LC:18056707
195,FOXI1,PAX8,SPIKE:12702667;SPIKE_LC:12702667
196,FGF3,FOXI1,SPIKE:12702667;SPIKE_LC:12702667
197,CREB1,BACH2,SPIKE:20864035;SPIKE_LC:20864035
198,NFAT5,SLC6A12,SPIKE:15522988;SPIKE_LC:15522988
199,AKT1,CHUK,BioGRID:10485711;BioGRID:11278366;BioGRID:15710601;BioGRID:15800029;CancerCellMap:10485710;ELM:10485710;HPRD-phos:10485710;HPRD:10485710;InnateDB:10485710;KEA:10485710;KEA:12048203;KEA:17570479;KEA:18515365;Lit-BM-17:10485710;Lit-BM-17:10485711;Lit-BM-17:11278366;Lit-BM-17:15710601;Lit-BM-17:15800029;Lit-BM-17:25241761;NetPath:17660512;ProtMapper:10485710;ProtMapper:19609947;SIGNOR:19609947;SPIKE:10485710;SPIKE:19442713;SPIKE_LC:10485710;SPIKE_LC:19442713;dbPTM:10485710;dbPTM:19088076;iPTMnet:10485710;iPTMnet:19609947
200,NFAT5,SLC5A3,SPIKE:15522988;SPIKE_LC:15522988
201,CHUK,NFKB1,CancerCellMap:10469655;CancerCellMap:12482991;CancerCellMap:14743216;HPRD-phos:10469655;HPRD-phos:11158290;HPRD:11976329;InnateDB:10469655;IntAct:11297557;IntAct:12482991;KEA:10469655;KEA:11158290;KEA:11976329;KEA:12482991;Macrophage:15489227;Macrophage:15494311;Macrophage:16382138;NetPath:14743216;PhosphoSite:12482991;ProtMapper:10469655;ProtMapper:11297557;ProtMapper:11976329;ProtMapper:27554194;SIGNOR:10469655;SIGNOR:11297557;SPIKE:12482991;SPIKE:14743216;SPIKE:16713569;SPIKE:19442713;SPIKE_LC:12482991;SPIKE_LC:14743216;SPIKE_LC:16713569;SPIKE_LC:19442713;iPTMnet:10022904;iPTMnet:10469655;iPTMnet:11158290;iPTMnet:11976329;phosphoELM:10469655;phosphoELM:11158290;phosphoELM:12482991
202,PIK3R1,AKT1,HPRD:10527852;NetPath:16799564;SPIKE:19442713;SPIKE_LC:19442713
203,CDC73,CPSF3,SPIKE:19136632;SPIKE_LC:19136632
204,CREB1,CDK6,SPIKE:20864035;SPIKE_LC:20864035
205,SYMPK,CSTF1,SPIKE:10669729;SPIKE_LC:10669729
206,CDK1,RRM2,HPRD-phos:17924679;HPRD-phos:18669648;HPRD-phos:18767875;HPRD-phos:19413330;HPRD-phos:19415658;HPRD-phos:19664995;HPRD-phos:20058876;HPRD-phos:9990288;HPRD:9990288;KEA:16964243;KEA:9990288;PhosphoSite:17693683;ProtMapper:22632967;ProtMapper:9990288;SIGNOR:22632967;SIGNOR:9990288;SPIKE:9990288;SPIKE_LC:9990288;iPTMnet:17924679;iPTMnet:18669648;iPTMnet:18767875;iPTMnet:19413330;iPTMnet:19415658;iPTMnet:19664995;iPTMnet:20058876;iPTMnet:22632967;iPTMnet:9990288;phosphoELM:9990288
207,ATM,MCM5,SPIKE:17525332;SPIKE:20068231;SPIKE_LC:17525332;SPIKE_LC:20068231
208,ATM,MCM6,SPIKE:17525332;SPIKE:20068231;SPIKE_LC:17525332;SPIKE_LC:20068231
209,CASP3,ACIN1,HPRD:10490026;ProtMapper:21904669;SIGNOR:10490026;SPIKE:10490026;SPIKE_LC:10490026
